Year,Month,Date,Time,Lat,Long,Magnitude
2015,12,25,19:14:47.110Z,36.4855,71.1375,6.3
2015,12,24,19:44:03.130Z,55.7757,123.0914,6.1
2015,12,20,18:47:35.850Z,3.6331,117.6252,6
2015,12,19,02:10:53.300Z,18.3992,169.3996,6.2
2015,12,17,19:49:54.530Z,15.8883,93.4463,6.6
2015,12,9,10:21:50.420Z,4.1181,129.4776,6.9
2015,12,7,07:50:06.610Z,38.2579,72.7669,7.2
2015,12,4,22:25:00.110Z,47.6165,85.0913,7.1
2015,11,27,21:00:23.050Z,24.8261,70.6113,6.2
2015,11,26,05:45:18.400Z,9.1825,71.2574,6.7
2015,11,24,22:50:54.460Z,10.0614,71.018,7.6
2015,11,24,22:45:38.850Z,10.536,70.9645,7.6
2015,11,24,13:21:35.740Z,18.7795,145.2663,6
2015,11,21,09:06:13.460Z,7.1489,129.9366,6.1
2015,11,18,18:31:04.830Z,8.9017,158.4227,7
2015,11,17,07:10:07.300Z,38.67,20.6,6.5
2015,11,13,20:51:31.020Z,30.9945,128.8854,6.7
2015,11,11,02:46:19.830Z,29.5097,72.0585,6.9
2015,11,11,01:54:38.570Z,29.5067,72.0068,6.9
2015,11,9,16:03:46.070Z,51.6394,173.0746,6.5
2015,11,8,16:47:02.160Z,6.8431,94.648,6.6
2015,11,7,07:31:43.840Z,30.8853,71.4598,6.8
2015,11,7,07:04:31.380Z,29.4665,72.2951,6.2
2015,11,4,03:44:15.190Z,8.3381,124.8754,6.5
2015,10,26,09:09:42.570Z,36.5263,70.3619,7.5
2015,10,23,04:04:18.140Z,45.8146,37.1711,6
2015,10,23,01:40:06.320Z,54.2258,6.1653,6.2
2015,10,20,21:52:02.560Z,14.8595,167.3028,7.1
2015,10,18,16:18:35.520Z,16.2018,173.2608,6
2015,10,14,05:43:08.300Z,48.8595,156.2259,6
2015,10,11,00:58:27.170Z,54.4856,135.708,6.1
2015,9,26,02:51:18.830Z,30.8148,71.3217,6.3
2015,9,24,15:53:27.740Z,0.6212,131.2622,6.6
2015,9,22,07:13:00.520Z,31.4441,71.2653,6
2015,9,21,17:40:00.060Z,31.7275,71.3792,6.6
2015,9,21,05:39:34.910Z,31.5757,71.7431,6.1
2015,9,19,12:52:20.920Z,32.3335,72.0629,6.2
2015,9,19,05:06:47.500Z,29.6411,72.077,6.1
2015,9,18,15:59:42.640Z,15.2767,45.9886,6
2015,9,18,09:10:44.730Z,32.3681,72.2292,6.2
2015,9,17,04:10:27.780Z,31.5173,71.804,6.7
2015,9,17,03:55:15.430Z,31.4244,71.6876,6.5
2015,9,17,01:41:05.870Z,31.1043,71.6504,6.4
2015,9,16,23:18:41.850Z,31.5622,71.4262,7
2015,9,16,23:16:09.440Z,31.6,71.9189,6.1
2015,9,16,23:03:56.560Z,31.7502,71.7425,6.1
2015,9,16,22:59:15.000Z,31.618,71.745,6.4
2015,9,16,22:54:32.860Z,31.5729,71.6744,8.3
2015,9,16,14:03:22.110Z,6.0114,151.4768,6.1
2015,9,16,07:40:58.690Z,1.8841,126.4288,6.3
2015,9,13,08:14:08.560Z,24.913,109.6226,6.7
2015,9,10,10:26:44.810Z,52.0985,169.5349,6
2015,9,7,09:13:56.600Z,32.8199,177.8599,6.3
2015,9,7,08:46:09.050Z,24.2427,179.1278,6
2015,9,1,15:25:09.520Z,31.1806,141.6,6
2015,8,24,09:41:26.630Z,30.6502,178.7298,6
2015,8,15,07:47:06.500Z,10.8968,163.8226,6.4
2015,8,13,10:39:53.840Z,37.0152,78.0623,6
2015,8,12,18:49:24.080Z,9.3293,157.8772,6.5
2015,8,10,04:12:15.810Z,9.3438,158.0525,6.6
2015,8,6,23:59:46.290Z,26.4576,178.2511,6
2015,7,29,02:35:59.000Z,59.8935,153.1961,6.3
2015,7,27,21:41:21.710Z,2.6286,138.5277,7
2015,7,27,04:49:46.400Z,52.376,169.4458,6.9
2015,7,18,02:27:33.820Z,10.4012,165.1409,7
2015,7,16,15:16:33.780Z,13.8672,58.5479,6.5
2015,7,10,04:12:42.540Z,9.307,158.403,6.7
2015,7,7,05:10:28.120Z,43.9097,147.9748,6.3
2015,7,3,06:43:21.540Z,10.1691,125.8907,6.1
2015,7,3,01:07:47.290Z,37.4593,78.1542,6.4
2015,7,1,19:35:21.460Z,10.9911,162.5558,6
2015,6,30,03:39:29.410Z,5.4513,151.5457,6
2015,6,25,18:45:57.450Z,32.0722,178.3241,6
2015,6,23,12:18:30.270Z,27.7375,139.7254,6.5
2015,6,21,21:28:16.270Z,20.4307,178.3276,6
2015,6,20,02:10:07.100Z,36.3601,73.812,6.4
2015,6,17,12:51:32.790Z,35.3639,17.1605,7
2015,6,12,11:07:08.040Z,15.6758,173.0098,6
2015,6,10,13:52:09.770Z,22.4,68.4323,6
2015,6,8,06:01:08.300Z,41.5615,142.0308,6.1
2015,6,4,23:15:43.910Z,5.9867,116.5409,6
2015,5,30,18:49:07.340Z,30.7856,142.9722,6.2
2015,5,30,17:18:35.040Z,15.7216,173.3817,6
2015,5,30,11:23:02.110Z,27.8386,140.4931,7.8
2015,5,29,07:00:09.000Z,56.594,156.43,6.7
2015,5,24,14:38:59.510Z,19.3933,175.9627,6.2
2015,5,24,04:53:23.630Z,16.855,14.1708,6.3
2015,5,22,23:59:33.770Z,11.1093,163.2154,6.8
2015,5,22,21:45:19.480Z,11.0559,163.6959,6.9
2015,5,20,22:48:53.420Z,10.8759,164.1694,6.8
2015,5,20,00:30:54.700Z,19.3021,175.5247,6
2015,5,19,15:25:21.080Z,54.3312,132.1618,6.7
2015,5,15,20:26:56.870Z,2.542,102.2191,6
2015,5,12,21:12:58.890Z,38.9056,142.0317,6.8
2015,5,12,07:36:54.490Z,27.625,86.1617,6.3
2015,5,12,07:05:19.730Z,27.8087,86.0655,7.3
2015,5,10,21:25:46.440Z,31.2373,142.0157,6
2015,5,7,07:10:19.590Z,7.2175,154.5567,7.1
2015,5,5,01:44:06.380Z,5.4624,151.8751,7.5
2015,5,3,22:32:39.010Z,5.6314,151.6757,6
2015,5,1,08:06:52.250Z,5.4912,151.8715,6
2015,5,1,08:06:03.480Z,5.2005,151.7773,6.8
2015,4,30,10:45:02.930Z,5.375,151.7706,6.7
2015,4,28,16:39:39.190Z,20.8865,178.6329,6.1
2015,4,26,07:09:10.670Z,27.7711,86.0173,6.7
2015,4,25,06:45:21.320Z,28.2244,84.8216,6.6
2015,4,25,06:15:22.910Z,27.6285,85.5398,6.1
2015,4,25,06:11:25.950Z,28.2305,84.7314,7.8
2015,4,24,13:56:15.180Z,51.6148,130.7714,6.2
2015,4,24,03:36:42.400Z,42.0602,173.0066,6.1
2015,4,22,22:57:15.650Z,12.039,166.432,6.2
2015,4,20,12:00:00.070Z,24.0471,122.4532,6.1
2015,4,20,11:45:13.440Z,24.0851,122.453,6
2015,4,20,01:42:58.380Z,24.2026,122.3158,6.4
2015,4,17,15:52:51.480Z,15.8815,178.6005,6.5
2015,4,16,18:07:43.610Z,35.1891,26.8235,6
2015,4,7,00:46:21.830Z,15.1676,173.2247,6.3
2015,3,31,12:18:24.200Z,4.8946,152.49,6
2015,3,30,08:48:25.340Z,15.4994,173.0293,6.5
2015,3,30,08:18:01.340Z,15.392,172.9409,6.4
2015,3,30,07:56:53.230Z,15.4296,173.049,6
2015,3,29,23:48:31.010Z,4.7294,152.5623,7.5
2015,3,23,04:51:38.010Z,18.3534,69.1663,6.4
2015,3,18,18:27:29.500Z,36.1167,73.5219,6.2
2015,3,17,22:12:28.940Z,1.6686,126.5217,6.2
2015,3,15,23:17:16.910Z,0.5409,122.3067,6.1
2015,3,10,20:55:44.370Z,6.7757,72.9875,6.2
2015,3,6,08:22:18.960Z,41.3157,80.6046,6
2015,3,3,10:37:30.050Z,0.7789,98.7161,6.1
2015,2,27,13:45:05.370Z,7.2968,122.5348,7
2015,2,22,14:23:12.720Z,18.6766,106.848,6.2
2015,2,21,10:13:53.290Z,39.8185,143.4861,6
2015,2,20,04:25:23.380Z,39.8244,143.5871,6.2
2015,2,19,13:18:32.810Z,16.4311,168.1483,6.4
2015,2,18,09:32:26.770Z,10.7598,164.1216,6.1
2015,2,16,23:06:28.270Z,39.8558,142.8808,6.7
2015,2,16,22:00:53.590Z,55.52,28.2591,6.2
2015,2,13,20:06:32.330Z,22.6374,121.427,6.2
2015,2,13,18:59:12.230Z,52.6487,31.9016,7.1
2015,2,11,18:57:22.460Z,23.1125,66.688,6.7
2015,2,2,10:49:48.530Z,32.7183,67.1231,6.3
2015,1,30,17:57:56.440Z,21.2452,170.158,6
2015,1,28,02:43:19.350Z,20.9665,178.3032,6.2
2015,1,23,03:47:27.050Z,17.0309,168.52,6.8
2015,1,7,05:07:07.510Z,5.9045,82.6576,6.5
